Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:48:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:22       3    7.27    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   91.11
21:49:22       4    5.43    0.00    1.81    0.00    0.00    0.60    0.00    0.00    0.00   92.15
21:49:22       5    8.89    0.00    1.82    0.00    0.00    0.20    0.00    0.00    0.00   89.09
21:49:22       6    4.78    0.00    1.59    0.00    0.00    0.40    0.00    0.00    0.00   93.23
21:49:22       7    6.40    0.00    2.00    0.00    0.00    0.80    0.00    0.00    0.00   90.80
21:49:22       8    2.22    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.77
21:49:22       9    1.81    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.18
21:49:22      10    2.05    0.00    0.62    0.00    0.00    0.21    0.00    0.00    0.00   97.13
21:49:22      11    4.05    0.00    1.42    0.00    0.00    0.20    0.00    0.00    0.00   94.33
21:49:22      12    1.82    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.17
21:49:22      13    1.83    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.15
21:49:22      14    2.21    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   96.39
21:49:22      15    2.02    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.97

21:49:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:27     all    3.60    0.00    1.09    0.05    0.00    0.70    0.00    0.00    0.00   94.55
21:49:27       0    1.17    0.00    0.39    0.00    0.00    5.83    0.00    0.00    0.00   92.62
21:49:27       1    2.24    0.00    0.81    0.20    0.00    0.81    0.00    0.00    0.00   95.93
21:49:27       2    2.81    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   95.58
21:49:27       3   10.80    0.00    1.40    0.00    0.00    0.60    0.00    0.00    0.00   87.20
21:49:27       4    5.21    0.00    1.60    0.00    0.00    0.40    0.00    0.00    0.00   92.79
21:49:27       5    6.06    0.00    1.62    0.20    0.00    0.40    0.00    0.00    0.00   91.72
21:49:27       6    3.62    0.00    1.21    0.40    0.00    0.20    0.00    0.00    0.00   94.57
21:49:27       7    5.98    0.00    1.79    0.00    0.00    0.40    0.00    0.00    0.00   91.83
21:49:27       8    1.81    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   96.98
21:49:27       9    1.61    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   97.18
21:49:27      10    1.64    0.00    1.03    0.00    0.00    0.21    0.00    0.00    0.00   97.13
21:49:27      11    1.62    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.37
