Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:29:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:34       9    0.80    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   98.59
21:30:34      10    1.02    0.00    0.61    0.41    0.00    0.00    0.00    0.00    0.00   97.96
21:30:34      11    2.61    0.00    1.00    0.00    0.00    0.20    0.00    0.00    0.00   96.18
21:30:34      12    1.20    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   97.39
21:30:34      13    1.20    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   97.79
21:30:34      14    0.80    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   98.19
21:30:34      15    1.21    0.00    1.01    0.40    0.00    0.20    0.00    0.00    0.00   97.18

21:30:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:39     all    1.71    0.00    0.82    0.03    0.00    0.42    0.00    0.00    0.00   97.03
21:30:39       0    1.00    0.00    0.60    0.00    0.00    1.60    0.00    0.00    0.00   96.80
21:30:39       1    0.81    0.00    0.40    0.00    0.00    0.81    0.00    0.00    0.00   97.98
21:30:39       2    1.21    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.98
21:30:39       3    5.01    0.00    2.00    0.00    0.00    0.60    0.00    0.00    0.00   92.38
21:30:39       4    1.81    0.00    1.41    0.00    0.00    0.60    0.00    0.00    0.00   96.18
21:30:39       5    3.83    0.00    1.61    0.00    0.00    0.60    0.00    0.00    0.00   93.95
21:30:39       6    2.00    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   96.80
21:30:39       7    2.79    0.00    1.40    0.40    0.00    0.40    0.00    0.00    0.00   95.01
21:30:39       8    1.01    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   98.19
21:30:39       9    0.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   98.99
21:30:39      10    1.22    0.00    0.41    0.00    0.00    0.20    0.00    0.00    0.00   98.17
21:30:39      11    1.01    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   97.99
21:30:39      12    1.21    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.98
21:30:39      13    1.61    0.00    0.40    0.00    0.00    0.40    0.00    0.00    0.00   97.58
21:30:39      14    0.81    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.59
21:30:39      15    1.21    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.98

21:30:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:44     all    1.61    0.00    0.69    0.04    0.00    0.30    0.00    0.00    0.00   97.36
21:30:44       0    0.40    0.00    0.40    0.00    0.00    1.21    0.00    0.00    0.00   97.98
21:30:44       1    0.81    0.00    0.41    0.00    0.00    0.20    0.00    0.00    0.00   98.58
21:30:44       2    1.00    0.00    0.80    0.20    0.00    0.20    0.00    0.00    0.00   97.79
