Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:54:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:22     all    3.73    0.00    0.89    0.01    0.00    0.65    0.00    0.00    0.00   94.72
21:55:22       0    1.54    0.00    0.58    0.00    0.00    5.79    0.00    0.00    0.00   92.08
21:55:22       1    1.82    0.00    0.61    0.00    0.00    1.01    0.00    0.00    0.00   96.56
21:55:22       2    2.62    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   96.17
21:55:22       3    6.85    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   91.94
21:55:22       4    5.61    0.00    1.20    0.20    0.00    0.20    0.00    0.00    0.00   92.79
21:55:22       5    9.54    0.00    1.79    0.00    0.00    0.40    0.00    0.00    0.00   88.27
21:55:22       6    5.62    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   92.97
21:55:22       7    6.64    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   92.15
21:55:22       8    2.41    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   96.79
21:55:22       9    1.81    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.18
21:55:22      10    2.04    0.00    0.82    0.00    0.00    0.20    0.00    0.00    0.00   96.93
21:55:22      11    2.03    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.16
21:55:22      12    2.21    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   96.99
21:55:22      13    3.20    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   95.20
21:55:22      14    1.82    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.37
21:55:22      15    3.83    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   95.16

21:55:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:27     all    3.86    0.00    0.90    0.03    0.00    0.64    0.00    0.00    0.00   94.57
21:55:27       0    2.31    0.00    0.58    0.00    0.00    5.59    0.00    0.00    0.00   91.52
21:55:27       1    2.02    0.00    0.61    0.00    0.00    1.21    0.00    0.00    0.00   96.16
21:55:27       2    2.21    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   96.78
21:55:27       3    8.20    0.00    1.40    0.00    0.00    0.40    0.00    0.00    0.00   90.00
21:55:27       4    4.23    0.00    1.01    0.40    0.00    0.40    0.00    0.00    0.00   93.95
21:55:27       5    8.80    0.00    1.00    0.00    0.00    0.20    0.00    0.00    0.00   90.00
21:55:27       6    4.60    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   94.00
21:55:27       7    5.81    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   92.79
